City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,22,3,10,0.33,8,65,42,6
阿克苏地区,97,49,142,0.85,25,60,26,17
阿拉善盟,38,14,27,0.33,10,86,74,8
阿勒泰地区,63,32,73,0.7,14,60,53,24
阿里地区,26,3,11,0.4,4,80,50,3
安康,104,77,136,1.33,68,8,14,25
安庆,82,60,112,0.55,36,92,66,22
鞍山,47,15,46,0.87,18,45,45,17
安顺,108,80,107,0.85,28,48,50,26
安阳,91,48,129,0.9,40,56,35,27
白城,25,7,19,0.7,10,52,48,15
百色,92,68,107,1.25,26,53,22,36
白山,45,30,44,0.6,9,64,64,7
白银,69,32,85,0.65,16,83,49,66
保定,45,25,44,0.5,29,58,45,12
宝鸡,93,67,133,0.99,64,53,44,20
保山,28,10,27,0.75,4,67,45,9
包头,31,16,30,2.22,46,52,60,65
巴彦淖尔,35,10,34,0.4,26,60,49,38
巴中,94,70,106,1.38,50,7,9,7
北海,92,68,110,1.3,22,147,99,18
北京,32,5,22,0.27,10,71,62,3
蚌埠,82,60,111,0.63,42,75,53,20
本溪,51,26,50,0.7,23,35,34,27
毕节,106,79,77,1.5,48,19,16,23
滨州,29,9,28,0.77,17,60,56,16
博州,56,33,59,0.9,19,46,44,13
亳州,59,37,66,0.75,30,72,49,23
沧州,32,18,31,0.53,17,63,51,15
长春,38,14,37,0.62,20,49,48,16
常德,67,37,81,0.6,22,108,70,11
昌都,26,9,25,1.2,10,56,41,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,98,73,141,1.37,22,50,48,19
长沙,55,28,58,0.57,32,104,65,10
常熟,91,67,124,1.2,74,54,50,35
长治,38,15,37,0.7,20,78,54,14
常州,56,39,60,1.07,45,56,34,17
朝阳,47,9,46,0.68,7,52,52,10
潮州,84,57,116,0.77,28,172,117,16
承德,30,11,22,0.34,9,55,58,6
成都,130,98,154,1.1,106,45,36,18
郴州,65,38,77,0.92,17,132,83,20
赤峰,21,4,19,0.6,12,44,40,8
池州,71,50,89,0.63,56,76,56,16
重庆,108,80,124,1.2,68,11,11,17
崇左,77,56,85,1.15,18,97,66,16
楚雄州,27,7,20,0.75,7,66,53,13
滁州,64,41,76,0.57,38,81,69,18
大连,41,10,40,0.56,15,46,48,13
大理州,33,15,29,0.75,11,82,64,8
丹东,49,16,48,0.8,14,39,38,9
大庆,28,11,21,0.52,17,55,54,11
大同,29,5,23,0.86,10,63,56,17
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,34,7,33,0.45,14,63,61,27
达州,111,83,104,0.9,55,66,50,79
德宏州,20,10,19,0.55,27,29,19,15
德阳,92,68,112,0.78,35,116,57,8
德州,45,9,44,1.1,21,59,49,7
定西,57,27,61,0.65,33,71,41,25
迪庆州,55,7,57,0.3,10,72,63,7
东莞,76,55,80,1.08,40,150,111,23
东营,45,9,44,0.6,15,61,59,12
鄂尔多斯,36,8,35,0.54,21,79,62,17
恩施州,96,71,106,0.75,30,60,24,7
鄂州,64,37,75,0.7,42,75,43,14
防城港,108,80,139,1.17,36,142,107,22
佛山,67,48,80,0.8,45,129,95,16
抚顺,33,17,32,0.57,13,43,40,11
阜新,34,8,33,1.54,7,49,46,6
阜阳,60,42,67,0.53,36,70,52,17
富阳,71,22,89,0.7,38,87,80,18
福州,74,45,95,0.8,35,97,84,18
抚州,81,59,91,0.73,17,113,73,17
甘南州,55,17,57,1.2,22,74,47,7
赣州,73,49,94,1.44,28,126,97,27
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,54,17,55,0.35,13,78,69,10
广安,98,73,120,0.84,36,81,43,36
广元,78,41,104,1.3,70,17,9,22
广州,60,40,67,0.75,38,131,105,14
贵港,109,81,119,0.93,27,123,91,21
桂林,80,58,87,0.7,37,115,108,23
贵阳,89,65,125,0.87,51,52,44,37
果洛州,34,18,21,1.2,8,108,63,0
固原,59,19,65,0.53,16,87,65,14
哈尔滨,34,18,33,0.63,24,58,59,21
海北州,42,28,41,0.5,18,87,61,31
海东地区,150,115,207,1.7,51,84,31,46
海口,87,64,89,0.96,15,165,121,16
海门,65,44,77,0.77,32,62,52,19
海南州,42,7,41,0.9,10,84,56,12
海西州,37,16,36,1.0,15,74,61,22
哈密地区,60,36,67,1.15,13,82,64,8
邯郸,74,48,96,0.93,30,53,32,23
杭州,78,57,98,0.94,50,70,48,20
汉中,146,111,187,2.48,72,8,8,34
鹤壁,100,68,148,1.93,69,42,39,37
河池,91,67,109,0.87,29,63,32,26
合肥,68,35,84,0.7,39,76,47,11
鹤岗,31,13,24,0.35,12,60,60,16
黑河,34,10,28,0.73,8,67,66,7
衡水,43,24,42,0.83,22,56,49,9
衡阳,74,49,95,0.83,35,110,76,30
和田地区,115,86,158,2.0,24,91,56,22
河源,65,46,68,0.9,18,126,99,12
菏泽,89,65,126,1.77,49,82,62,29
贺州,97,72,108,0.75,23,144,114,9
红河州,30,13,29,0.73,15,38,31,10
淮安,92,66,132,0.86,48,61,47,23
淮北,87,64,117,0.73,53,53,37,24
怀化,106,79,126,1.14,26,95,81,19
淮南,72,49,91,0.63,25,79,50,23
黄冈,68,42,83,0.8,15,93,55,13
黄南州,53,33,54,1.5,31,62,38,30
黄山,73,50,94,0.7,16,79,56,17
黄石,73,50,94,0.6,31,84,44,14
呼和浩特,62,19,72,0.89,31,65,54,22
惠州,69,49,77,0.94,27,142,115,12
葫芦岛,34,10,33,0.85,11,49,52,12
呼伦贝尔,24,14,21,0.35,13,47,46,4
湖州,94,70,98,0.99,51,81,50,21
佳木斯,45,17,44,0.43,19,39,45,10
吉安,85,62,103,0.6,27,111,76,32
江门,78,57,91,0.83,57,108,81,14
江阴,87,64,103,0.77,58,74,48,22
胶南,52,17,52,0.35,18,71,64,9
胶州,30,8,28,0.4,9,81,59,11
焦作,57,32,62,0.75,36,59,57,20
嘉兴,120,90,128,1.37,62,66,44,27
嘉峪关,104,46,156,0.7,24,74,72,17
揭阳,87,63,121,1.02,32,184,119,19
吉林,62,18,71,0.7,17,56,55,12
即墨,24,5,22,0.35,13,63,47,4
济南,89,28,126,0.86,37,65,45,39
金昌,84,47,115,0.8,25,92,69,106
晋城,57,30,62,2.24,40,69,44,40
景德镇,61,41,69,0.6,17,99,65,11
荆门,117,88,116,1.1,42,112,62,24
荆州,96,68,140,1.05,35,113,65,46
金华,94,70,101,0.93,49,82,53,28
济宁,87,64,114,1.13,55,57,38,35
金坛,53,36,45,1.0,26,82,54,17
晋中,53,30,54,1.3,43,53,34,51
锦州,43,15,42,0.6,17,42,44,55
九江,68,45,84,0.56,33,96,62,23
酒泉,107,40,161,0.7,33,68,66,29
鸡西,53,13,53,0.3,10,55,53,1
句容,69,44,85,0.9,38,75,53,19
开封,47,31,46,0.63,26,71,53,20
喀什地区,223,172,299,2.35,54,53,21,29
克拉玛依,77,56,100,0.9,21,36,29,8
克州,81,31,110,1.5,17,69,50,5
库尔勒,87,59,122,2.27,30,54,32,22
昆明,30,13,29,0.74,14,66,48,11
昆山,96,71,114,0.9,64,70,45,21
来宾,143,109,136,1.0,30,111,99,48
莱芜,65,34,77,0.73,32,67,51,20
莱西,32,7,20,0.35,11,68,62,8
莱州,29,0,28,0.4,11,63,57,7
廊坊,34,11,21,0.13,15,66,66,3
兰州,111,83,167,2.44,100,70,44,72
拉萨,39,19,38,0.73,14,98,65,6
乐山,115,86,124,1.04,54,60,31,17
凉山州,41,26,40,0.92,19,99,44,14
连云港,44,21,43,0.7,28,59,47,16
聊城,91,29,129,1.0,32,51,36,23
辽阳,28,14,27,0.65,8,46,43,11
辽源,45,21,44,1.05,14,48,48,8
丽江,35,8,28,0.83,10,71,68,9
临安,75,40,98,0.9,32,86,65,19
临沧,18,11,17,0.6,7,44,26,12
临汾,91,67,123,1.6,47,43,28,102
临夏州,68,38,83,1.1,26,88,42,51
临沂,70,24,88,0.7,34,58,41,24
林芝,34,13,33,0.45,10,77,56,5
林芝地区,18,4,16,0.35,6,51,35,3
丽水,80,58,95,1.13,30,103,65,21
六盘水,46,32,45,0.98,37,45,43,24
柳州,99,74,103,1.0,26,94,84,27
溧阳,66,47,73,1.0,45,78,54,28
陇南,59,21,65,0.85,43,56,31,16
龙岩,54,35,56,0.85,24,116,91,11
娄底,70,33,87,1.06,23,126,89,10
六安,64,30,75,0.37,22,88,58,5
漯河,45,20,44,0.5,26,83,58,14
洛阳,59,20,65,0.96,38,60,42,22
泸州,91,67,89,0.8,41,7,7,18
吕梁,89,66,126,1.9,64,19,22,74
马鞍山,77,56,100,1.26,51,63,42,45
茂名,70,49,87,0.85,19,135,102,20
眉山,116,87,116,0.53,69,63,34,14
梅州,59,40,65,1.0,28,121,66,8
绵阳,83,61,99,0.7,28,104,53,6
牡丹江,40,23,39,0.4,13,55,58,7
南昌,70,35,87,0.86,31,106,76,20
南充,98,73,116,0.93,35,94,55,11
南京,76,51,99,1.18,49,70,46,27
南宁,88,65,103,1.11,32,129,81,28
南平,59,40,65,0.65,20,130,100,12
南通,66,44,79,1.18,47,75,55,30
南阳,61,30,70,1.08,19,105,64,8
那曲地区,62,34,71,0.87,6,64,48,5
内江,98,73,103,0.7,35,69,38,20
宁波,137,104,163,1.16,78,62,47,23
宁德,69,49,83,0.8,32,118,88,21
怒江州,58,17,63,0.65,9,60,36,8
盘锦,39,12,38,0.57,14,44,42,20
攀枝花,85,56,117,3.38,68,77,37,101
蓬莱,27,8,18,0.75,7,56,52,7
平顶山,55,30,57,0.75,20,93,58,14
平度,32,6,31,0.4,17,75,60,7
平凉,73,25,94,0.55,37,77,59,18
萍乡,80,48,108,0.94,30,104,74,31
普洱,19,6,17,0.4,10,48,36,7
莆田,85,50,117,0.82,33,111,101,17
濮阳,146,111,176,1.98,97,27,42,41
黔东南州,89,66,106,0.8,49,66,49,23
黔南州,69,48,85,1.0,51,55,64,50
黔西南州,28,11,27,1.4,22,30,28,8
青岛,51,9,50,0.36,22,66,46,10
庆阳,46,24,45,0.43,14,93,72,7
清远,60,29,52,0.9,26,129,110,16
秦皇岛,28,9,24,0.42,11,56,55,7
钦州,111,83,133,1.07,24,149,105,26
齐齐哈尔,31,15,30,0.76,17,49,55,27
七台河,79,24,105,0.4,28,49,42,17
泉州,88,42,124,0.68,27,114,106,18
曲靖,55,38,54,1.35,34,30,35,12
衢州,81,54,109,0.93,38,81,55,25
日喀则,27,6,20,0.5,2,84,50,9
日喀则地区,29,6,27,0.35,2,68,56,5
日照,62,24,71,0.47,16,69,60,6
荣成,55,10,58,0.6,11,48,53,7
乳山,39,9,38,0.55,10,54,50,6
三门峡,86,48,120,0.98,41,58,29,26
三明,64,45,68,0.68,22,125,92,19
三沙,30,7,20,0.3,30,51,58,6
三亚,70,49,76,1.05,23,131,122,6
上海,85,62,83,0.98,70,69,49,20
商洛,56,27,60,0.65,27,79,61,16
商丘,68,47,84,0.57,36,75,47,14
上饶,70,47,88,1.4,34,86,56,28
山南,28,2,14,0.75,10,80,54,5
山南地区,40,5,21,0.45,6,65,79,4
汕头,73,49,94,0.85,26,172,122,13
汕尾,74,53,90,0.83,23,163,120,13
